Продукт,Вес (г),Белки,Жиры,Углеводы,Калории,Категория
картофель по-итальянски,100,1.70,3.90,12.70,95.00
картофельная запеканка с грибами.,100,3.20,5.00,11.50,107.00
картофельная запеканка с мясом и грибами.,100,6.60,4.60,9.20,107.00
картофельное пюре,100,2.20,0.80,14.30,74.00
картофельные чипсы,100,2.20,35.40,48.60,531.00
креветки с овощами, салат,100,6.00,2.20,4.00,63.00
морковь отварная,100,1.20,0.10,6.10,29.00
овощи бланшированные + ол. масло,100,1.00,4.50,4.40,61.00
овощи на гриле,100,2.00,2.70,3.70,47.00
овощное рагу,100,1.00,2.00,5.60,44.00
овощной салат с 1 ст.л. раст.масла,100,1.10,3.50,3.80,51.00
омлет белковый с овощами,100,5.80,4.70,2.80,78.00
перец, фаршированный овощами,100,1.00,5.00,8.00,80.00
рагу из тыквы с овощами,100,2.40,7.40,8.90,109.00
"рагу овощное в ""цептере"",100,1.30,2.40,4.90,45.00",,,,,
салат весенний (капуста, огурец, лук, зелень, раст. масло),100,1.40
салат винегрет,100,1.60,10.00,16.00,129.60
салат греческий,100,24.30,4.60,24.30,292.20
салат из свеклы и яблок.,100,0.87,2.60,16.80,87.40
салат с йогуртом и кукурузой,100,2.21,1.03,8.50,68.50
салат с хреном, морковью и яблоками,100,0.90,0.30,11.50,49.70
свекла отварная,100,1.80,0.00,10.80,49.00
тыква жареная,100,1.45,5.50,5.20,76.00
фасоль тушеная с говяжьим фаршем,100,6.70,3.00,6.10,76.00
шпинат жареный,100,2.30,11.30,2.40,118.00
абрикосы,100,0.90,0.10,9.00,41.00
авокадо,100,2.00,15.30,4.10,169.00
айва,100,0.60,0.50,7.90,40.00
алыча,100,0.20,0.00,6.40,27.00
ананас,100,0.40,0.20,11.50,49.00
апельсин,100,0.90,0.20,8.10,40.00
арбуз,100,0.70,0.20,8.80,38.00
бананы,100,1.50,0.10,21.00,89.00
брусника,100,0.70,0.50,8.00,43.00
виноград,100,0.60,0.20,15.00,65.00
вишня,100,0.80,0.50,10.30,52.00
голубика,100,1.00,0.00,7.00,35.00
гранат,100,0.90,0.00,11.20,52.00
грейпфрут,100,0.90,0.20,6.50,35.00
груша,100,0.40,0.30,9.50,42.00
гуава,100,0.80,0.60,0.00,57.00
дыня,100,0.60,0.00,9.10,38.00
ежевика,100,2.00,0.00,4.40,31.00
земляника садовая,100,0.80,0.40,6.30,34.00
инжир,100,0.70,0.20,11.20,49.00
киви,100,1.00,0.60,4.00,51.00
клюква,100,0.50,0.00,3.80,26.00
крыжовник,100,0.70,0.20,9.10,43.00
лимон,100,0.90,0.10,3.00,33.00
манго,100,0.50,0.27,11.50,67.00
малина,100,0.80,0.30,8.30,42.00
мандарин,100,0.80,0.30,8.10,40.00
морошка,100,0.80,0.00,6.00,28.00
облепиха,100,0.90,2.50,5.00,52.00
папайя,100,0.60,0.10,9.20,48.00
персики,100,0.90,0.10,9.50,43.00
рябина садовая,100,1.40,0.10,8.60,46.00
рябина черноплодная,100,1.50,0.10,10.90,52.00
слива садовая,100,0.80,0.00,9.60,43.00
смородина белая,100,0.30,0.00,8.00,38.00
смородина красная,100,0.60,0.20,7.30,39.00
смородина черная,100,1.00,0.20,7.30,38.00
терн,100,1.50,0.00,8.30,45.00
финики,100,2.50,0.00,68.50,271.00
